IMO number,MMSI,Name of the ship,Former names,Vessel type,Operating status,Flag,Gross tonnage,Deadweight,Length,Breadth,Year of build,Builder,Description,Seafarers worked on,Open vacancies on,Vessel MLC insurance,Classification society,Home port,Owner,Manager,Engine type,Engine power
7514593,341558000,GULF EAGLE,"GULF  EAGLE(2010, Saint Kitts and Nevis)AQUA TRADER(2008)GLORY(2007)GLOBALSTAR(2000)LINCOLN K(1996)ALSOD(1989)POZEGA(1985)",General cargo vessel,Decommissioned or lost,Saint Kitts and Nevis,8842tons,14904tons,143m,19m,1977,"JMU - TOKYO, JAPAN","GULF EAGLE is a General cargo vessel built in 1977 by JMU - TOKYO, JAPAN. Current status: Decommissioned or lost. Formerly also known as GULF  EAGLE, AQUA TRADER, GLORY, GLOBALSTAR, LINCOLN K, ALSOD, POZEGA. It's gross tonnage is 8842 tons.",,,,,,,,,
,,,,,,,,,,,,,,https://www.balticshipping.com/vessel/imo/7514593/seafarers,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
7514608,,ASIAN EXPRESS,,Car carrier,Decommissioned or lost,Liberia,17073tons,16903tons,179m,25m,1976,"TSUNEISHI SHIPBUILDING - FUKUYAMA, JAPAN","ASIAN EXPRESS is a Car carrier built in 1976 by TSUNEISHI SHIPBUILDING - FUKUYAMA, JAPAN. Current status: Decommissioned or lost. It's gross tonnage is 17073 tons.",,,,BUREAU VERITAS,,,,,
,,,,,,,,,,,,,,No sea service records found,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
7514610,,CHIOS CHALLENGE,FORUM ISLAND(1997)DAIEI MARU(1987)ASIAN TRANSPORTER(1979),Bulk carrier,Decommissioned or lost,Panama,19327tons,30230tons,179m,25m,1976,"TSUNEISHI SHIPBUILDING - FUKUYAMA, JAPAN","CHIOS CHALLENGE is a Bulk carrier built in 1976 by TSUNEISHI SHIPBUILDING - FUKUYAMA, JAPAN. Current status: Decommissioned or lost. Formerly also known as FORUM ISLAND, DAIEI MARU, ASIAN TRANSPORTER. It's gross tonnage is 19327 tons.",,,,BUREAU VERITAS,,,,,
,,,,,,,,,,,,,,No sea service records found,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
7514622,,SVYATOY GEORGIY,VIENNA WOOD(2004)VIENNA WOOD N(1993)VIENNA WOODS(1985),Bulk carrier,Decommissioned or lost,Georgia,17824tons,29081tons,179m,26m,1976,"KANDA SHIPBUILDING - KURE, JAPAN","SVYATOY GEORGIY is a Bulk carrier built in 1976 by KANDA SHIPBUILDING - KURE, JAPAN. Current status: Decommissioned or lost. Formerly also known as VIENNA WOOD, VIENNA WOOD N, VIENNA WOODS. It's gross tonnage is 17824 tons.",,,,RUSSIAN MARITIME REGISTER OF SHIPPING,,,,,
,,,,,,,,,,,,,,No sea service records found,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
7514634,,PRIMAVERA,PRIMERA PEAK(1997),General cargo vessel,Decommissioned or lost,Panama,13426tons,20327tons,161m,23m,1977,"NKK SHIPBUILDING - YOKOHAMA, JAPAN","PRIMAVERA is a General cargo vessel built in 1977 by NKK SHIPBUILDING - YOKOHAMA, JAPAN. Current status: Decommissioned or lost. Formerly also known as PRIMERA PEAK. It's gross tonnage is 13426 tons.",,,,,,,,,
,,,,,,,,,,,,,,No sea service records found,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
7514646,,SHOROOK,,Pilot boat,Active,Iraq,959tons,397tons,57m,10m,1976,"NIIGATA SHIPBUILDING & REPAIR - NIIGATA, JAPAN","SHOROOK is a Pilot boat built in 1976 by NIIGATA SHIPBUILDING & REPAIR - NIIGATA, JAPAN. Currently sailing under the flag of Iraq. It's gross tonnage is 959 tons.",,,,,BASRAH,"IRAQ GOVERNMENT - BAGHDAD, IRAQ","IRAQ GOVERNMENT - BAGHDAD, IRAQ",,
,,,,,,,,,,,,,,No sea service records found,No open vacancies on this ship,,,,,,,
,,,,,,,,,,,,,,,,Nothing found,,,,,,
7514658,312358000,AMBRUS,AJAKS(2019)AJAKS(2018),Tug boat,Active,Belize,335tons,118tons,35m,9m,1974,"NAVAL SHIPYARD GDYNIA - GDYNIA, POLAND","AMBRUS is a Tug boat built in 1974 by NAVAL SHIPYARD GDYNIA - GDYNIA, POLAND. Currently sailing under the flag of Belize. Formerly also known as AJAKS, AJAKS. It's gross tonnage is 335 tons.",,,,POLSKI REJESTR STATKOW,,,,Fiat,1840 KW
